hash,author_name,committer_name,author_date,commit_date,num_lines_added,num_lines_deleted,num_lines_of_code,num_file_impacted,num_dirs_impacted,min_complexity,mean_complexity,max_complexity,entropy,bug_fixing,description_length,prior_commits,num_prior_commits,avg_prior_age,num_prior_commits_bug_fixing,num_future_commits_bug_fixing,fix_inducing
45c72807835fe884901c49652b70701ecfc0e475,Brian Waldon,Brian Waldon,2011-11-01,2011-11-01,1,1,91,1,1,0,0.0,0,0.0,True,12,[],0,0.0,0,1,True
bd00433233ef2eb19a923b47db30dd43da22d741,Brian Waldon,Brian Waldon,2011-11-01,2011-11-01,238,268,2138,8,5,5,43.666666666666664,80,0.8261025179399559,False,10,[],0,0.0,0,6,True
25bae72c254242839766eced9f457ee56c2a3131,Kevin L. Mitchell,Kevin L. Mitchell,2011-11-01,2011-11-01,2,0,615,2,2,60,68.0,76,1.0,True,23,[],0,0.0,0,0,False
dcc884708a1a08dcbc7d39975dc8f488ca090a93,Jay Pipes,Jay Pipes,2011-11-01,2011-11-01,10,9,67,1,1,0,0.0,0,0.0,True,21,[],0,0.0,0,1,True
2418efd7b79ee7703ee8270b0f48b1fcb7819829,Jay Pipes,Jay Pipes,2011-11-01,2011-11-01,4,0,579,1,1,0,0.0,0,0.0,True,20,[],0,0.0,0,1,True
cef073049a70b9d6b5bf90678890924e1c3abb7a,Brian Lamar,Brian Lamar,2011-10-14,2011-11-01,264,37,526,4,2,6,28.0,59,0.6615790507100701,True,104,[],0,0.0,0,14,True
268450cddff0b0cd61c48f1160d625272ef9b2f0,Brian Lamar,Brian Lamar,2011-11-02,2011-11-02,4,2,78,1,1,16,16.0,16,0.0,True,27,['cef073049a70b9d6b5bf90678890924e1c3abb7a'],1,0.0,1,0,False
bc7aeb4a0a1295f90f7ea8824a1c8bf5313fafb7,Kevin L. Mitchell,Kevin L. Mitchell,2011-11-02,2011-11-02,20,5,215,2,1,6,19.5,33,0.6343095546405662,True,20,[],0,0.0,0,4,True
2674e8bbbcd340d2161c08d272b57acd18684eb8,Tomas Hancock,Tomas Hancock,2011-11-03,2011-11-03,3,2,380,1,1,76,76.0,76,0.0,True,88,[],0,0.0,0,0,False
5e6fb33b22c868e8ce2638198c27f3e3a099318a,Stuart McLaren,Stuart McLaren,2011-10-28,2011-11-03,171,14,1334,10,7,4,23.142857142857142,40,0.7381696372543582,False,37,[],0,0.0,0,9,True
8f122d954bb35d18f0afb38aa2822cd1741f05f0,Mike Lundy,Mike Lundy,2011-11-08,2011-11-08,5,0,38,2,2,0,0.0,0,0.7219280948873623,True,46,[],0,0.0,0,1,True
c8de988a8d8f695d32cacb088ff4bc8b5bb6c2fc,Mark McLoughlin,Mark McLoughlin,2011-11-08,2011-11-08,1,1,39,1,1,7,7.0,7,0.0,True,10,[],0,0.0,0,0,False
2a5a0e9a355e64545da3165c1f2aea049e0eb9fa,Jay Pipes,Jay Pipes,2011-11-08,2011-11-09,284,31,1100,9,5,10,17.0,31,0.7090601307417588,True,30,[],0,0.0,0,11,True
f6d8437d5bdc81309f850a8d6f9628438b5353da,Dan Prince,Dan Prince,2011-11-09,2011-11-09,1,1,278,1,1,80,80.0,80,0.0,True,16,[],0,0.0,0,0,False
a7db2db948626e6727a88f50319306bf48dcc1d9,Dan Prince,Dan Prince,2011-11-09,2011-11-09,8,5,321,1,1,74,74.0,74,0.0,True,19,[],0,0.0,0,1,True
3f33db71bbd25dd3ce323c2d962e2a3a450219e7,Brian Waldon,Brian Waldon,2011-11-09,2011-11-09,10,1,340,2,2,7,20.5,34,0.6840384356390417,True,12,[],0,0.0,0,2,True
ec99ac38ae80bded04b18b5807fe2d9cdac1a432,Mark McLoughlin,Mark McLoughlin,2011-11-09,2011-11-09,100,1,92,1,1,16,16.0,16,0.0,False,18,[],0,0.0,0,1,True
1f979ca757162b55bc120eb87990f70819a4266f,Mark McLoughlin,Mark McLoughlin,2011-11-09,2011-11-09,64,44,695,7,3,21,31.0,41,0.683320798799797,False,74,['ec99ac38ae80bded04b18b5807fe2d9cdac1a432'],1,0.0,0,2,True
2c66c6972de9bd5c364228061bf3de27aad746fe,Mark McLoughlin,Mark McLoughlin,2011-11-08,2011-11-09,0,21,465,3,3,3,21.5,40,0.9821410328348751,False,33,[],0,0.0,0,0,False
1d2e29063f359a8187fbcc39d4d00ce203c6193c,Brian Waldon,Brian Waldon,2011-11-09,2011-11-09,45,52,787,4,2,19,46.5,71,0.8803165338876762,True,37,[],0,0.0,0,1,True
98cefb7fc8430ad92b002d2300fd2085c71c9750,Dan Prince,Dan Prince,2011-11-09,2011-11-09,3,1,999,1,1,0,0.0,0,0.0,True,14,[],0,0.0,0,0,False
854d66ec65caeda872163e17ececc3dc8fa0f710,Brian Waldon,Brian Waldon,2011-11-09,2011-11-09,51,0,402,1,1,15,15.0,15,0.0,True,16,[],0,0.0,0,2,True
0135c4265380988a5a02b1cefa837b919fd1a8f4,Brian Waldon,Brian Waldon,2011-11-10,2011-11-10,47,147,752,4,3,10,40.25,60,0.6957527543281675,True,18,['2a5a0e9a355e64545da3165c1f2aea049e0eb9fa'],1,0.0,1,1,True
4213a1e9dabda4e9174678ce46a0d80da38ded3e,Brian Waldon,Brian Waldon,2011-11-10,2011-11-10,1,1,402,1,1,15,15.0,15,0.0,True,21,['854d66ec65caeda872163e17ececc3dc8fa0f710'],1,0.0,1,0,False
0a394707bee38182d980b2ea1906c2aaa6f1c389,Rick Harris,Rick Harris,2011-11-10,2011-11-10,9,2,127,3,2,10,10.0,10,0.9922150607220181,True,12,['2a5a0e9a355e64545da3165c1f2aea049e0eb9fa'],1,1.0,1,0,False
94dcf3acd0b3ef7adcb61b90bf4bdcc733cf61ac,Rick Harris,Rick Harris,2011-11-10,2011-11-10,3,3,285,3,2,0,0.0,0,0.9999999999999999,True,13,[],0,0.0,0,3,True
7cb8d131bff574e9a62e2ed08e227cc2f0639ed3,Rick Harris,Rick Harris,2011-11-11,2011-11-11,2,2,188,1,1,22,22.0,22,0.0,True,17,[],0,0.0,0,1,True
a18e60c4aa1801147ce80581f19aefc2b4b606cf,Rick Harris,Rick Harris,2011-11-11,2011-11-11,3,3,55,1,1,10,10.0,10,0.0,True,12,[],0,0.0,0,2,True
f394327f3869b8b820f1fdd345c7e6073dd82820,Rick Harris,Rick Harris,2011-11-11,2011-11-11,7,0,62,1,1,10,10.0,10,0.0,True,10,[],0,0.0,0,2,True
d105e954a82030cac21a1e5461ae8f507af54758,Jay Pipes,Jay Pipes,2011-11-14,2011-11-14,225,81,1478,8,6,10,31.5,57,0.5651383224920834,True,90,"['3f33db71bbd25dd3ce323c2d962e2a3a450219e7', 'a18e60c4aa1801147ce80581f19aefc2b4b606cf']",2,3.5,2,18,True
e56cb998c578ff1b6b0ba47d3f693c871db6c7fa,Rick Harris,Rick Harris,2011-11-15,2011-11-15,22,9,826,5,1,9,28.0,48,0.7345112446188686,True,12,[],0,0.0,0,2,True
88780460895ccf77747c2db4450919e9daa17020,Jay Pipes,Jay Pipes,2011-11-14,2011-11-15,967,387,3366,15,9,3,27.583333333333332,63,0.7091670877708969,True,92,"['854d66ec65caeda872163e17ececc3dc8fa0f710', '2a5a0e9a355e64545da3165c1f2aea049e0eb9fa', 'd105e954a82030cac21a1e5461ae8f507af54758', 'bd00433233ef2eb19a923b47db30dd43da22d741', '3f33db71bbd25dd3ce323c2d962e2a3a450219e7']",5,5.6,4,36,True
6eb28314591382366bb07e32b856420fc6cc82f2,Monty Taylor,Monty Taylor,2011-11-10,2011-11-16,2,29,102,3,2,0,0.0,0,0.846836722631185,True,43,[],0,0.0,0,0,False
5650bd22b7926c8b40b3af5e9e190780ab6b7760,Monty Taylor,Monty Taylor,2011-11-16,2011-11-16,3,2,23,1,1,0,0.0,0,0.0,False,11,['6eb28314591382366bb07e32b856420fc6cc82f2'],1,0.0,1,1,True
1f28b6ca7efb9bed12052c10af71e57773693970,Paul Bourke,Paul Bourke,2011-11-21,2011-11-21,8,0,346,2,2,50,50.0,50,0.5435644431995964,True,19,[],0,0.0,0,2,True
49d67bd5051a7399d6108119ade54db92cae23f0,Paul Bourke,Paul Bourke,2011-11-17,2011-11-22,50,2,1274,4,3,43,47.0,51,0.9240945610691712,False,52,[],0,0.0,0,1,True
03372c77aa2fddd61cb9b90d9aff553f90ca15d5,Pádraig Brady,Pádraig Brady,2011-11-22,2011-11-23,5,4,87,2,2,0,0.0,0,0.5032583347756457,True,62,[],0,0.0,0,2,True
6bf61e8ce1882ea0f448aaffb7de8a826f19ea6e,Lorin Hochstein,Lorin Hochstein,2011-11-23,2011-11-29,90,31,1282,4,2,0,0.0,0,0.19930987642746031,True,12,[],0,0.0,0,4,True
1ab63ff5c97cfcbcebd993b57e209c0dd17c2ee8,Jay Pipes,Jay Pipes,2011-11-15,2011-11-30,247,291,4589,17,10,2,46.75,144,0.8375964433501418,True,117,['bd00433233ef2eb19a923b47db30dd43da22d741'],1,28.0,0,13,True
b183f43792e38f8210b15cac83a8a745938d22ae,Jay Pipes,Jay Pipes,2011-11-16,2011-12-01,28,48,565,3,2,18,29.0,40,0.5721536048271109,True,41,[],0,0.0,0,4,True
0e9c16dccf27cc4f85e6772e1d2abfd820af7756,Stuart McLaren,Stuart McLaren,2011-12-01,2011-12-02,18,2,808,1,1,0,0.0,0,0.0,True,20,[],0,0.0,0,1,True
d3e57489d82ad60d2860f10b59579958b1ae7443,Stuart McLaren,Stuart McLaren,2011-12-05,2011-12-05,4,0,471,1,1,0,0.0,0,0.0,True,14,[],0,0.0,0,0,False
37fc2b00c0a8dd67221d83697609913aa78d89c7,James E. Blair,James E. Blair,2011-12-05,2011-12-05,9,6,242,7,2,17,17.0,17,0.9462874612889592,False,45,[],0,0.0,0,4,True
98b1ef337ee63f239829b44aec4d05cea99f98ad,Paul Bourke,Paul Bourke,2011-12-05,2011-12-06,98,29,673,2,2,50,51.5,53,0.9924284506025758,True,167,['1f28b6ca7efb9bed12052c10af71e57773693970'],1,15.0,1,8,True
ba44d1c384c58ae8059a44c0ef0afaacba40225f,Mark McLoughlin,Mark McLoughlin,2011-11-28,2011-12-07,118,159,2827,24,12,1,16.5,64,0.9175919415246873,False,108,"['1f979ca757162b55bc120eb87990f70819a4266f', '1ab63ff5c97cfcbcebd993b57e209c0dd17c2ee8', '2a5a0e9a355e64545da3165c1f2aea049e0eb9fa', 'd105e954a82030cac21a1e5461ae8f507af54758', '88780460895ccf77747c2db4450919e9daa17020', '0135c4265380988a5a02b1cefa837b919fd1a8f4']",6,21.666666666666668,5,2,True
