hash,author_name,committer_name,author_date,commit_date,num_lines_added,num_lines_deleted,num_lines_of_code,num_file_impacted,num_dirs_impacted,min_complexity,mean_complexity,max_complexity,entropy,bug_fixing,description_length,prior_commits,num_prior_commits,avg_prior_age,num_prior_commits_bug_fixing,num_future_commits_bug_fixing,fix_inducing
9e78076745f2a7a23007e1d0c572eb1b8c20b12f,Sergey Lukjanov,Sergey Lukjanov,2013-02-04,2013-02-04,1509,0,1007,19,8,1,24.0,47,0.714252892972685,False,2,[],0,0.0,0,5,True
553449ac80a90c397c1f3a751ba6917167f38361,Sergey Lukjanov,Sergey Lukjanov,2013-02-04,2013-02-04,3,3,108,1,1,0,0.0,0,0.0,True,2,['9e78076745f2a7a23007e1d0c572eb1b8c20b12f'],1,0.0,0,1,True
90115d2b197b778d6d85efd77db3a541b8fa8eac,Sergey Lukjanov,Sergey Lukjanov,2013-02-18,2013-02-18,718,6,522,17,9,1,15.25,43,0.6299547606477133,False,5,['9e78076745f2a7a23007e1d0c572eb1b8c20b12f'],1,13.0,0,13,True
594d6919bacb68f256993af6d27106fecdc16f80,Sergey Lukjanov,Sergey Lukjanov,2013-02-18,2013-02-18,2,4,32,2,2,5,5.0,5,1.0,True,2,['90115d2b197b778d6d85efd77db3a541b8fa8eac'],1,0.0,0,0,False
fc3ea9c5eace75cc3498f940b20ffe946335bfec,Sergey Lukjanov,Sergey Lukjanov,2013-02-18,2013-02-18,8,2,60,3,3,5,5.0,5,0.7298466991620974,False,2,"['90115d2b197b778d6d85efd77db3a541b8fa8eac', '9e78076745f2a7a23007e1d0c572eb1b8c20b12f']",2,6.5,0,2,True
4f51cdaa56294d277661049a23cf24bed35dde38,Sergey Lukjanov,Sergey Lukjanov,2013-02-18,2013-02-18,0,1,26,1,1,5,5.0,5,0.0,False,6,['90115d2b197b778d6d85efd77db3a541b8fa8eac'],1,0.0,0,0,False
79fbe627b3e3215ceb5e51fabbd10ef27027df1b,Sergey Lukjanov,Sergey Lukjanov,2013-02-18,2013-02-18,9,0,11,1,1,0,0.0,0,0.0,False,4,[],0,0.0,0,0,False
51e6e2b04fd8f9159352f4b736e08b1b5f691b76,Sergey Lukjanov,Sergey Lukjanov,2013-02-19,2013-02-19,317,3,258,14,7,1,15.333333333333334,44,0.286260705283993,False,3,"['90115d2b197b778d6d85efd77db3a541b8fa8eac', '79fbe627b3e3215ceb5e51fabbd10ef27027df1b', 'fc3ea9c5eace75cc3498f940b20ffe946335bfec']",3,0.0,0,4,True
c1903c767dc8dbbda7da7169d6658fd6619c6d67,Sergey Lukjanov,Sergey Lukjanov,2013-02-19,2013-02-19,12,0,18,1,1,0,0.0,0,0.0,False,2,[],0,0.0,0,0,False
18f6c47b7fea619ef0622286e978d7046f775fbb,Sergey Lukjanov,Sergey Lukjanov,2013-02-19,2013-02-19,1,1,29,1,1,0,0.0,0,0.0,False,4,['fc3ea9c5eace75cc3498f940b20ffe946335bfec'],1,0.0,0,0,False
17f545128b1806600b79efca72538cf779717890,Sergey Lukjanov,Sergey Lukjanov,2013-02-19,2013-02-19,1,1,5,1,1,0,0.0,0,0.0,True,9,['51e6e2b04fd8f9159352f4b736e08b1b5f691b76'],1,0.0,0,0,False
8f1eb9094d504ba208cbd7c2765ba027e43cec63,Sergey Lukjanov,Sergey Lukjanov,2013-02-19,2013-02-19,15,3,35,2,2,7,7.0,7,0.6500224216483541,False,2,['90115d2b197b778d6d85efd77db3a541b8fa8eac'],1,0.0,0,1,True
8b1dfd5015b2285fce8341e5615b855fb5f821f8,Sergey Lukjanov,Sergey Lukjanov,2013-02-19,2013-02-19,77,0,64,1,1,4,4.0,4,0.0,False,6,[],0,0.0,0,3,True
3e3bb008e2ed6552ff31c992d30976bc8ef071fb,Sergey Lukjanov,Sergey Lukjanov,2013-02-19,2013-02-19,1,0,30,1,1,0,0.0,0,0.0,False,5,[],0,0.0,0,0,False
d5fd0df33f7e5d48a7f014e3790b0922f4e943fd,dmitryme,dmitryme,2013-02-19,2013-02-19,2,0,11,1,1,0,0.0,0,0.0,False,14,[],0,0.0,0,0,False
9a95d42e930868eadd7b8fcee488f740e2be4a6c,dmitryme,dmitryme,2013-02-19,2013-02-19,0,0,0,0,0,0,0.0,0,0.0,False,10,[],0,0.0,0,0,False
93ea140051aa8b5a117fc24b2beb980cfb971ac8,Sergey Lukjanov,Sergey Lukjanov,2013-02-19,2013-02-19,2,2,8,2,1,0,0.0,0,1.0,False,5,['51e6e2b04fd8f9159352f4b736e08b1b5f691b76'],1,0.0,0,0,False
5e2c9deaf0292f1baf35c448f987a977a451c4ad,Sergey Lukjanov,Sergey Lukjanov,2013-02-19,2013-02-19,0,0,0,0,0,0,0.0,0,0.0,False,9,[],0,0.0,0,0,False
fdfb1886b6ee98b98c304db5c06bad63ab074c25,Sergey Lukjanov,Sergey Lukjanov,2013-02-21,2013-02-21,2,3,2,1,1,0,0.0,0,0.0,False,5,['8f1eb9094d504ba208cbd7c2765ba027e43cec63'],1,2.0,0,0,False
6997bbbe2ffd08b6a5fff8c2bac2bcf72803c5f0,Sergey Lukjanov,Sergey Lukjanov,2013-02-21,2013-02-21,21,3,50,3,2,2,4.5,7,0.9680589902708632,False,6,"['90115d2b197b778d6d85efd77db3a541b8fa8eac', '9e78076745f2a7a23007e1d0c572eb1b8c20b12f']",2,9.0,0,1,True
