hash,author_name,committer_name,author_date,commit_date,num_lines_added,num_lines_deleted,num_lines_of_code,num_file_impacted,num_dirs_impacted,min_complexity,mean_complexity,max_complexity,entropy,bug_fixing,description_length,num_prior_commits,avg_prior_age,num_prior_commits_bug_fixing,num_future_commits_bug_fixing,fix_inducing,reviewer_id,reviewer_name,reviewer_vote,reviewer_is_core,num_prior_votes,pct_prior_pos_votes,pct_prior_neg_votes,pct_prior_pos_votes_core,pct_prior_neg_votes_core,change_id,pct_prior_commits_author_authored,pct_prior_commits_author_reviewed,pct_prior_commits_reviewer_authored,pct_prior_commits_reviewer_reviewed
002d711fb7f16a6d5c7977e82e30837287b553b8,Mark McLoughlin,Mark McLoughlin,2011-11-28 14:37:58+00:00,2011-12-07 12:44:16+00:00,314,318,8328,43,12,1,30.837209302325583,145,0.9239255253740852,False,45,10,20.6,8,7,True,679,Kevin L. Mitchell,1,False,0,0.0,0.0,0.0,0.0,I3a86fc01fc76825d6d1e86af882eb8245828ce5f,0.0,0.0,0.0,0.7
002d711fb7f16a6d5c7977e82e30837287b553b8,Mark McLoughlin,Mark McLoughlin,2011-11-28 14:37:58+00:00,2011-12-07 12:44:16+00:00,314,318,8328,43,12,1,30.837209302325583,145,0.9239255253740852,False,45,10,20.6,8,7,True,7,Jay Pipes,1,False,1,1.0,0.0,0.0,0.0,I3a86fc01fc76825d6d1e86af882eb8245828ce5f,0.0,0.0,0.2,0.6
002d711fb7f16a6d5c7977e82e30837287b553b8,Mark McLoughlin,Mark McLoughlin,2011-11-28 14:37:58+00:00,2011-12-07 12:44:16+00:00,314,318,8328,43,12,1,30.837209302325583,145,0.9239255253740852,False,45,10,20.6,8,7,True,360,Dan Prince,2,False,2,1.0,0.0,0.0,0.0,I3a86fc01fc76825d6d1e86af882eb8245828ce5f,0.0,0.0,0.0,0.2
00467964c768dc89128eb975ba7a0dbc0ffc4f2a,Jeremy Stanley,Jeremy Stanley,2014-02-10 02:59:56+00:00,2014-02-10 02:59:56+00:00,0,3,0,1,1,0,0.0,0,0.0,True,99,1,12.0,1,0,False,2,Monty Taylor,1,False,0,0.0,0.0,0.0,0.0,Ib10f5ef2fd747e38012384f1c6cbe147da8c2573,0.0,0.0,0.0,0.0
00467964c768dc89128eb975ba7a0dbc0ffc4f2a,Jeremy Stanley,Jeremy Stanley,2014-02-10 02:59:56+00:00,2014-02-10 02:59:56+00:00,0,3,0,1,1,0,0.0,0,0.0,True,99,1,12.0,1,0,False,6484,Feilong Wang,2,False,1,1.0,0.0,0.0,0.0,Ib10f5ef2fd747e38012384f1c6cbe147da8c2573,0.0,0.0,0.0,0.0
00467964c768dc89128eb975ba7a0dbc0ffc4f2a,Jeremy Stanley,Jeremy Stanley,2014-02-10 02:59:56+00:00,2014-02-10 02:59:56+00:00,0,3,0,1,1,0,0.0,0,0.0,True,99,1,12.0,1,0,False,616,Mark Washenberger,2,False,2,1.0,0.0,0.0,0.0,Ib10f5ef2fd747e38012384f1c6cbe147da8c2573,0.0,0.0,0.0,1.0
005526111dc2cfb90c53ea1577b2d847e19b1a40,Bo Wang,Bo Wang,2016-01-22 19:28:22+08:00,2016-01-22 19:40:20+08:00,16,0,189,3,3,8,18.5,29,0.8024052436705212,False,29,0,0.0,0,0,False,6159,Flavio Percoco Premoli,2,False,0,0.0,0.0,0.0,0.0,I40f6d9aab3ef334da46bd460eb6a4ed3948e951e,,,,
005526111dc2cfb90c53ea1577b2d847e19b1a40,Bo Wang,Bo Wang,2016-01-22 19:28:22+08:00,2016-01-22 19:40:20+08:00,16,0,189,3,3,8,18.5,29,0.8024052436705212,False,29,0,0.0,0,0,False,5202,Erno Kuvaja,2,False,1,1.0,0.0,0.0,0.0,I40f6d9aab3ef334da46bd460eb6a4ed3948e951e,,,,
0057aed72c6e92fbc7bfe27eb9a30f191eed3fd4,Stuart McLaren,Stuart McLaren,2013-10-03 11:24:35+00:00,2013-10-03 11:41:45+00:00,2,2,679,1,1,76,76.0,76,0.0,True,171,1,83.0,0,1,True,6549,Zhi Yan Liu,2,False,1,1.0,0.0,0.0,0.0,Ib0b11ec18aafbfb7f3d243bf149b94f93a1c13c9,0.0,0.0,0.0,1.0
0057aed72c6e92fbc7bfe27eb9a30f191eed3fd4,Stuart McLaren,Stuart McLaren,2013-10-03 11:24:35+00:00,2013-10-03 11:41:45+00:00,2,2,679,1,1,76,76.0,76,0.0,True,171,1,83.0,0,1,True,616,Mark Washenberger,2,False,1,1.0,0.0,0.0,0.0,Ib0b11ec18aafbfb7f3d243bf149b94f93a1c13c9,0.0,0.0,0.0,1.0
